id,name,username,bio,join_date,join_time,tweets,following,followers,percent_bio,percent_tweet,percent_follower,total_percent
1320769364,Jual Followers Indo,RealFollower_ID,"Close order untuk order followers. Open order jasa Auto Promo. Sekali pasang, untuk selamanya. Paling Murah! Fast response contact SMS/WA: ☎ 089680771169",1-Apr-18,10:15 AM,236651,12594,40,0,40,20,60
2316853910,PENJUAL TERPERCAYA,iikutAF,sms 083865797999,29-Jan-19,1:47 AM,33764,1,1907,0,0,20,20
946010624,,MrFollowers_ID,cp : 089687643954,13-Nov-12,7:42 AM,42187,1,44499,0,40,20,60
446651211,Promotions,guebangtoyib1,,25-Dec-11,4:38 PM,526384,1817,1115,20,40,0,60
2932048278,Jual Followers Indo,RealFollower_lD,Jasa tambah twitter followers instan. Followers 100% dari Indonesia & AKTIF (REAL HUMAN) BUKAN ROBOT. Proses cepat. Fast response contact SMS/WA: ☎ 082257063192,16-Dec-14,2:17 AM,60768,72,694,0,40,0,40
2225166961,@jrockstar-bhenk,jrockstarbhenk,jangan pantang menyerah terus berdo'a,1-Dec-13,7:46 AM,77939,66,211,0,40,0,40
2513190613,Sicca :),JhesikaSNSD,RolePlayer of Jessica SNSD | 89L | Ice Princess | Yang ganteng / Cantik Cek Fav yaa :* Untuk Pembelian Followes langsung sms aja ya :),21-May-14,10:29 AM,225589,21,637,0,40,0,40
1320769364,Jual Followers Indo,RealFollower_ID,"Close order untuk order followers. Open order jasa Auto Promo. Sekali pasang, untuk selamanya. Paling Murah! Fast response contact SMS/WA: ☎ 089680771169",1-Apr-13,10:15 AM,236651,40,12594,0,40,0,40
946010624,,MrFollowers_ID,cp : 089687643954,13-Nov-12,7:42 AM,42187,1,44499,0,40,20,60
446651211,Promotions,guebangtoyib1,Jual Followers Twitter: *1000 : Rp.10.000 *2000 : Rp.20.000 *5000 : Rp.50.000 Minat ? PM me : 082186310898,25-Dec-11,4:38 PM,126384,1817,1115,0,40,0,40
1004449747,Jual Followers Murah,bosnyafollowers,Akun dari @Fauzanuar || Followers Anda Sedikit? Kami Buka Jasa Penambah Followers !! || Testi? Cek Fav! ||Pembayaran Via Telkomsel. Minat? Hub:089677172791,11-Dec-12,9:05 AM,6004,14,1579,0,40,0,40
2932048278,Jual Followers Indo,RealFollower_lD,Jasa tambah twitter followers instan. Followers 100% dari Indonesia & AKTIF (REAL HUMAN) BUKAN ROBOT. Proses cepat. Fast response contact SMS/WA: ☎ 082257063192,16-Dec-14,2:17 AM,60768,72,694,0,40,0,40
2225166961,@jrockstar-bhenk,jrockstarbhenk,jangan pantang menyerah terus berdo'a,1-Dec-13,7:46 AM,77939,66,211,0,40,0,40
306818125,Diendo Indra,Bang_dindin,Cuma Penikmat,28-May-11,7:09 AM,1992,273,360,0,40,0,40
1577827490,Tambah Follower,tambahfllwr,,8-Jul-13,7:34 AM,53334,869,520,20,40,0,60
1320769364,Jual Followers Indo,RealFollower_ID,"Close order untuk order followers. Open order jasa Auto Promo. Sekali pasang, untuk selamanya. Paling Murah! Fast response contact SMS/WA: ☎ 089680771169",1-Apr-13,10:15 AM,236651,40,12594,0,40,0,40
946010624,,MrFollowers_ID,,13-Nov-12,7:42 AM,442187,1,44499,20,40,20,80
446651211,Promotions,guebangtoyib1,Jual Followers Twitter: *1000 : Rp.10.000 *2000 : Rp.20.000 *5000 : Rp.50.000 Minat ? PM me : 082186310898,25-Dec-11,4:38 PM,126384,1817,1115,0,40,0,40
